wimp mass , median 3 sigma discovery
6 , 5.2229092267847654e-45
7 , 1.136873983489746e-45
8 , 3.577173802182167e-46
8 , 3.577173802182167e-46
9 , 1.4021715013827452e-46
10 , 6.812223419131803e-47
10 , 6.812223419131803e-47
15 , 1.0742182396220569e-47
20 , 5.029699748869595e-48
20 , 5.029699748869595e-48
30 , 2.93645393496063e-48
30 , 2.93645393496063e-48
40 , 2.666341672897599e-48
40 , 2.666341672897599e-48
50 , 2.673573097617201e-48
50 , 2.673573097617201e-48
70 , 3.1429818128655193e-48
70 , 3.1429818128655193e-48
80 , 3.239379963635733e-48
100 , 3.7689634700950714e-48
100 , 3.7689634700950714e-48
120 , 4.3735549145508667e-48
150 , 5.3899047693573923e-48
200 , 6.487253952484593e-48
200 , 6.487253952484593e-48
300 , 9.773881098848037e-48
500 , 1.5823792036631674e-47
700 , 2.1273413485301544e-47
1000 , 3.2198016505946094e-47
1000 , 3.2198016505946094e-47
3300 , 1.0098379043122189e-46
